# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.fileByIdCache.hits,1777677054234000000,1777677065564000000,0
VFS.invertedFileNameIndex.requests,1777677054234000000,1777677065564000000,0
VFS.fileChildByName,1777677054234000000,1777677065564000000,11
VFS.fileByIdCache.misses,1777677054234000000,1777677065564000000,0
ReadAction.executionsCount,1777677054234000000,1777677065564000000,10
WriteAction.executionsCount,1777677054234000000,1777677065564000000,1
cacheStateStorage.set.counter,1777677054234000000,1777677065564000000,0
cacheStateStorage.get.counter,1777677054234000000,1777677065564000000,2
cacheStateStorage.get.duration,1777677054234000000,1777677065564000000,0
cacheStateStorage.set.duration,1777677054234000000,1777677065564000000,0
Indexing.cache.totalCacheMisses,1777677054234000000,1777677065564000000,0
Indexing.totalTimeIndexersSleptMs,1777677054234000000,1777677065564000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1777677054234000000,1777677065564000000,0
Indexing.writesQueuedAvg,1777677054234000000,1777677065564000000,0.0
Indexing.writesQueuedMax,1777677054234000000,1777677065564000000,0
Indexing.cache.totalCacheAccesses,1777677054234000000,1777677065564000000,0
Indexing.writesQueuedMin,1777677054234000000,1777677065564000000,0
Indexing.cache.totalCacheEvicted,1777677054234000000,1777677065564000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1777677054234000000,1777677065564000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1777677054234000000,1777677065564000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1777677054234000000,1777677065564000000,0
DirectByteBufferAllocator.reclaimed,1777677054234000000,1777677065564000000,47
StorageLockContext.competingThreads.90P,1777677054234000000,1777677065564000000,0
StorageLockContext.competingThreads.avg,1777677054234000000,1777677065564000000,0.0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1777677054234000000,1777677065564000000,41959424
FilePageCache.disposedBuffers,1777677054234000000,1777677065564000000,193
MappedFileStorage.totalBytesMapped,1777677054234000000,1777677065564000000,0
FilePageCache.capacityInBytes,1777677054234000000,1777677065564000000,629145600
FileChannelInterruptsRetryer.totalRetriedAttempts,1777677054234000000,1777677065564000000,0
FilePageCache.totalPageDisposalsUs,1777677054234000000,1777677065564000000,521
FilePageCache.pageLoadsAboveSizeThreshold,1777677054234000000,1777677065564000000,0
FilePageCache.pageHits,1777677054234000000,1777677065564000000,0
DirectByteBufferAllocator.disposed,1777677054234000000,1777677065564000000,146
MappedFileStorage.totalTimeSpentOnMappingUs,1777677054234000000,1777677065564000000,200590
FilePageCache.pageFastCacheHits,1777677054234000000,1777677065564000000,13112
MappedFileStorage.totalPagesMapped,1777677054234000000,1777677065564000000,0
StorageLockContext.competingThreads.max,1777677054234000000,1777677065564000000,0
DirectByteBufferAllocator.misses,1777677054234000000,1777677065564000000,188
FilePageCache.pageLoads,1777677054234000000,1777677065564000000,193
FilePageCache.maxRegisteredFiles,1777677054234000000,1777677065564000000,520
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1777677054234000000,1777677065564000000,41959424
FilePageCache.uncachedFileAccess,1777677054234000000,1777677065564000000,336
MappedFileStorage.storages,1777677054234000000,1777677065564000000,0
FilePageCache.totalPageLoadsUs,1777677054234000000,1777677065564000000,57330
FilePageCache.maxCacheSizeInBytes,1777677054234000000,1777677065564000000,195051520
DirectByteBufferAllocator.hits,1777677054234000000,1777677065564000000,5
writeAction.median.wait.ms,1777677054234000000,1777677065564000000,0
DiskQueryRelay.tasksExecuted,1777677054234000000,1777677065564000000,30
DiskQueryRelay.tasksRequested,1777677054234000000,1777677065564000000,30
writeAction.max.wait.ms,1777677054234000000,1777677065564000000,2
writeAction.wait.ms,1777677054234000000,1777677065564000000,2
writeAction.count,1777677054234000000,1777677065564000000,1
DiskQueryRelay.taskWaitingTotalTimeUs,1777677054234000000,1777677065564000000,22509
DiskQueryRelay.taskExecutionTotalTimeUs,1777677054234000000,1777677065564000000,5486
